MsCode,Year,EstCode,Estimate,SE,LowerCIB,UpperCIB,Flag
MEASB,2010,B_ChangeInProportion,-3.6,4.5,-8.1,0.9,
MEASB,2010,C_Number,291.1,33.6,257.5,324.6,
MEASB,2010,D_ChangeInNumber,-37.5,48,-85.5,10.5,
MEASB,2010,E_Population,1082.6,,,,
MEASB,2011,A_Proportion,30.9,3.4,27.5,34.2,
MEASB,2011,B_ChangeInProportion,4,4.6,-0.6,8.6,
MEASB,2011,C_Number,335.3,35.7,299.7,371,
MEASB,2011,D_ChangeInNumber,44.2,49,-4.8,93.2,
MEASB,2011,E_Population,1086.9,,,,
MEASB,2012,A_Proportion,29.1,2.7,26.3,31.8,
MEASB,2012,B_ChangeInProportion,-1.8,4.4,-6.2,2.6,
MEASB,2012,C_Number,315.6,30,285.6,345.7,
MEASB,2012,D_ChangeInNumber,-19.7,47.4,-67.1,27.7,
MEASB,2012,E_Population,1085.9,,,,
MEASB,2013,A_Proportion,26.9,2.6,24.3,29.5,
MEASB,2013,B_ChangeInProportion,-2.1,3.7,-5.8,1.6,
MEASB,2013,C_Number,292.3,28.3,264,320.5,
MEASB,2013,D_ChangeInNumber,-23.3,40.1,-63.4,16.8,
MEASB,2013,E_Population,1084.7,,,,
MEASB,2014,A_Proportion,27.3,2.9,24.4,30.2,
MEASB,2014,B_ChangeInProportion,0.4,4,-3.6,4.4,
MEASB,2014,C_Number,295.9,31,264.9,326.9,
MEASB,2014,D_ChangeInNumber,3.6,43.3,-39.7,46.9,
MEASB,2014,E_Population,1083.9,,,,
MEASB,2015,A_Proportion,27.2,2.9,24.3,30,
MEASB,2015,B_ChangeInProportion,-0.1,3.8,-3.9,3.7,
MEASB,2015,C_Number,295.6,30.1,265.5,325.7,
MEASB,2015,D_ChangeInNumber,-0.3,41.4,-41.7,41.1,
MEASB,2015,E_Population,1087.1,,,,
MEASB,2016,A_Proportion,24.3,2.3,21.9,26.6,
MEASB,2016,B_ChangeInProportion,-2.9,3.5,-6.4,0.6,
MEASB,2016,C_Number,265.4,25.8,239.6,291.2,
MEASB,2016,D_ChangeInNumber,-30.2,37.8,-68,7.6,
MEASB,2016,E_Population,1093.2,,,,
MEASB,2017,A_Proportion,22.4,2.4,20,24.9,
MEASB,2017,B_ChangeInProportion,-1.8,3.3,-5.1,1.5,
MEASB,2017,C_Number,247.5,26.4,221.1,273.9,
MEASB,2017,D_ChangeInNumber,-17.9,36.1,-54,18.2,
MEASB,2017,E_Population,1103.2,,,,
MEASB,2018,A_Proportion,22.8,1.9,20.9,24.7,
MEASB,2018,B_ChangeInProportion,0.4,2.8,-2.4,3.2,
MEASB,2018,C_Number,253.8,21.6,232.3,275.4,
MEASB,2018,D_ChangeInNumber,6.3,31,-24.7,37.3,
MEASB,2018,E_Population,1113.3,,,,
MEASB,2019,A_Proportion,18.3,1.1,17.2,19.5,
MEASB,2019,B_ChangeInProportion,-4.5,2.4,-6.9,-2,
MEASB,2019,C_Number,207.7,12.9,194.9,220.6,
MEASB,2019,D_ChangeInNumber,-46.1,27.4,-73.5,-18.7,
MEASB,2019,E_Population,1132.8,,,,
MEASB,2020,A_Proportion,17.8,1.3,16.5,19.1,
MEASB,2020,B_ChangeInProportion,-0.6,1.7,-2.3,1.2,
MEASB,2020,C_Number,203.3,15,188.3,218.4,
MEASB,2020,D_ChangeInNumber,-4.4,19.9,-24.3,15.5,
MEASB,2020,E_Population,1144.1,,,,
MEASB,2021,A_Proportion,15,1.2,13.8,16.1,
MEASB,2021,B_ChangeInProportion,-2.8,1.7,-4.5,-1.1,
MEASB,2021,C_Number,172,13.3,158.7,185.3,
MEASB,2021,D_ChangeInNumber,-31.4,19.6,-51,-11.8,
MEASB,2021,E_Population,1149.2,,,,
MEASB,2022,A_Proportion,14.4,1.7,12.7,16.2,
MEASB,2022,B_ChangeInProportion,-0.5,2.1,-2.7,1.6,
MEASB,2022,C_Number,166.2,20,146.2,186.2,
MEASB,2022,D_ChangeInNumber,-5.8,24.6,-30.4,18.8,
MEASB,2022,E_Population,1150.5,,,,
MEASB,2023,A_Proportion,17.5,1.5,16,18.9,
MEASB,2023,B_ChangeInProportion,3,2.5,0.6,5.5,
MEASB,2023,C_Number,202.1,16.8,185.3,219,
MEASB,2023,D_ChangeInNumber,35.9,28.5,7.4,64.4,
MEASB,2023,E_Population,1155.8,,,,
MEASC,2007,A_Proportion,,,,,NA
MEASC,2007,B_ChangeInProportion,,,,,NA
MEASC,2007,C_Number,,,,,NA
MEASC,2007,D_ChangeInNumber,,,,,NA
MEASC,2007,E_Population,,,,,NA
MEASC,2008,A_Proportion,,,,,NA
MEASC,2008,B_ChangeInProportion,,,,,NA
MEASC,2008,C_Number,,,,,NA
MEASC,2008,D_ChangeInNumber,,,,,NA
MEASC,2008,E_Population,,,,,NA
MEASC,2009,A_Proportion,,,,,NA
MEASC,2009,B_ChangeInProportion,,,,,NA
MEASC,2009,C_Number,,,,,NA
MEASC,2009,D_ChangeInNumber,,,,,NA
MEASC,2009,E_Population,,,,,NA
MEASC,2010,A_Proportion,,,,,NA
MEASC,2010,B_ChangeInProportion,,,,,NA
MEASC,2010,C_Number,,,,,NA
MEASC,2010,D_ChangeInNumber,,,,,NA
MEASC,2010,E_Population,,,,,NA
MEASC,2011,A_Proportion,,,,,NA
MEASC,2011,B_ChangeInProportion,,,,,NA
MEASC,2011,C_Number,,,,,NA
MEASC,2011,D_ChangeInNumber,,,,,NA
MEASC,2011,E_Population,,,,,NA
MEASC,2012,A_Proportion,,,,,NA
MEASC,2012,B_ChangeInProportion,,,,,NA
MEASC,2012,C_Number,,,,,NA
MEASC,2012,D_ChangeInNumber,,,,,NA
MEASC,2012,E_Population,,,,,NA
MEASC,2013,A_Proportion,18.1,4.3,13.8,22.3,
MEASC,2013,B_ChangeInProportion,,,,,NA
MEASC,2013,C_Number,195.8,46.2,149.6,242,
MEASC,2013,D_ChangeInNumber,,,,,NA
MEASC,2013,E_Population,1084.7,,,,
MEASC,2014,A_Proportion,16,3.8,12.1,19.8,
MEASC,2014,B_ChangeInProportion,-2.1,6,-8.1,3.9,
MEASC,2014,C_Number,172.9,41.4,131.5,214.4,
MEASC,2014,D_ChangeInNumber,-22.9,65.2,-88.1,42.3,
MEASC,2014,E_Population,1083.9,,,,
MEASC,2015,A_Proportion,17.5,4.3,13.2,21.8,
MEASC,2015,B_ChangeInProportion,1.6,6.1,-4.6,7.7,
MEASC,2015,C_Number,190.4,46.3,144.1,236.7,
MEASC,2015,D_ChangeInNumber,17.5,66,-48.5,83.5,
MEASC,2015,E_Population,1087.1,,,,
MEASC,2016,A_Proportion,12.1,3.6,8.5,15.7,
MEASC,2016,B_ChangeInProportion,-5.4,5.8,-11.3,0.4,
MEASC,2016,C_Number,132.3,39.2,93.2,171.5,
MEASC,2016,D_ChangeInNumber,-58.1,63.5,-121.6,5.4,
MEASC,2016,E_Population,1093.2,,,,
MEASC,2017,A_Proportion,12.7,2.4,10.2,15.1,
MEASC,2017,B_ChangeInProportion,0.5,4.6,-4.1,5.2,
MEASC,2017,C_Number,139.6,26.5,113.1,166.1,
MEASC,2017,D_ChangeInNumber,7.3,50.3,-43,57.6,
MEASC,2017,E_Population,1103.2,,,,
MEASC,2018,A_Proportion,13.3,2.3,11,15.5,
MEASC,2018,B_ChangeInProportion,0.6,3.5,-2.9,4.1,
MEASC,2018,C_Number,147.6,25.1,122.4,172.7,
MEASC,2018,D_ChangeInNumber,8,38.2,-30.2,46.2,
MEASC,2018,E_Population,1113.3,,,,
MEASC,2019,A_Proportion,13.2,1.1,12.1,14.3,
MEASC,2019,B_ChangeInProportion,-0.1,2.6,-2.6,2.5,
MEASC,2019,C_Number,149.4,12.2,137.2,161.6,
MEASC,2019,D_ChangeInNumber,1.8,28.7,-26.9,30.5,
MEASC,2019,E_Population,1132.2,,,,
MEASC,2020,A_Proportion,11.5,1.1,10.5,12.6,
MEASC,2020,B_ChangeInProportion,-1.7,1.5,-3.1,-0.2,
MEASC,2020,C_Number,131.7,12.2,119.5,143.9,
MEASC,2020,D_ChangeInNumber,-17.7,16.7,-34.5,-1,
MEASC,2020,E_Population,1142.3,,,,
MEASC,2021,A_Proportion,11,1,10,11.9,
MEASC,2021,B_ChangeInProportion,-0.6,1.4,-1.9,0.8,
MEASC,2021,C_Number,125.7,11.1,114.6,136.8,
MEASC,2021,D_ChangeInNumber,-6,15.7,-21.7,9.7,
MEASC,2021,E_Population,1146.9,,,,
MEASC,2022,A_Proportion,10.5,1.5,8.9,12,
MEASC,2022,B_ChangeInProportion,-0.5,1.7,-2.2,1.2,
MEASC,2022,C_Number,120.3,17.5,102.8,137.8,
MEASC,2022,D_ChangeInNumber,-5.4,19.7,-25.1,14.3,
MEASC,2022,E_Population,1149.4,,,,
MEASC,2023,A_Proportion,12.5,1.2,11.3,13.7,
MEASC,2023,B_ChangeInProportion,2,2,0.1,4,
MEASC,2023,C_Number,143.7,14,129.7,157.8,
MEASC,2023,D_ChangeInNumber,23.4,22.5,0.9,45.9,
MEASC,2023,E_Population,1151.4,,,,
MEASE,2007,A_Proportion,23.9,1.5,22.4,25.5,
MEASE,2007,B_ChangeInProportion,,,,,NA
MEASE,2007,C_Number,256.8,16.5,240.3,273.3,
MEASE,2007,D_ChangeInNumber,,,,,NA
MEASE,2007,E_Population,1073.4,,,,
MEASE,2008,A_Proportion,23.4,1.3,22,24.7,
MEASE,2008,B_ChangeInProportion,-0.5,2,-2.5,1.5,
MEASE,2008,C_Number,251.8,14.5,237.3,266.3,
MEASE,2008,D_ChangeInNumber,-5,21.4,-26.4,16.4,
MEASE,2008,E_Population,1076.5,,,,
MEASE,2009,A_Proportion,22.2,1.3,20.9,23.5,
MEASE,2009,B_ChangeInProportion,-1.2,1.8,-3,0.6,
MEASE,2009,C_Number,239.5,14.2,225.4,253.7,
MEASE,2009,D_ChangeInNumber,-12.3,19.4,-31.7,7.1,
MEASE,2009,E_Population,1078.1,,,,
MEASE,2010,A_Proportion,22.4,1.5,20.9,23.9,
MEASE,2010,B_ChangeInProportion,0.2,1.9,-1.7,2.1,
MEASE,2010,C_Number,242.4,16.3,226.2,258.7,
MEASE,2010,D_ChangeInNumber,2.9,20.5,-17.6,23.4,
MEASE,2010,E_Population,1082.6,,,,
MEASE,2011,A_Proportion,23.3,1.5,21.8,24.8,
MEASE,2011,B_ChangeInProportion,0.9,2,-1,2.9,
MEASE,2011,C_Number,253.4,16.2,237.2,269.7,
MEASE,2011,D_ChangeInNumber,11,21.3,-10.3,32.3,
MEASE,2011,E_Population,1086.9,,,,
MEASE,2012,A_Proportion,23.3,1.3,22,24.6,
MEASE,2012,B_ChangeInProportion,0,2.2,-2.2,2.1,
MEASE,2012,C_Number,252.8,13.9,238.9,266.7,
MEASE,2012,D_ChangeInNumber,-0.6,23.5,-24.1,22.9,
MEASE,2012,E_Population,1085.9,,,,
MEASE,2013,A_Proportion,23.6,1.4,22.2,24.9,
MEASE,2013,B_ChangeInProportion,0.3,1.7,-1.5,2,
MEASE,2013,C_Number,255.5,14.8,240.6,270.3,
MEASE,2013,D_ChangeInNumber,2.7,18.9,-16.2,21.6,
MEASE,2013,E_Population,1084.7,,,,
MEASE,2014,A_Proportion,23.4,1.3,22.1,24.7,
MEASE,2014,B_ChangeInProportion,-0.1,1.9,-2,1.8,
MEASE,2014,C_Number,253.9,14.3,239.6,268.1,
MEASE,2014,D_ChangeInNumber,-1.6,20.4,-22,18.8,
MEASE,2014,E_Population,1083.9,,,,
MEASE,2015,A_Proportion,24.6,1.3,23.4,25.9,
MEASE,2015,B_ChangeInProportion,1.2,1.8,-0.6,3,
MEASE,2015,C_Number,267.9,13.9,254,281.8,
MEASE,2015,D_ChangeInNumber,14,19.6,-5.6,33.6,
MEASE,2015,E_Population,1087.2,,,,
MEASE,2016,A_Proportion,23.3,1.2,22,24.5,
MEASE,2016,B_ChangeInProportion,-1.4,1.7,-3.1,0.3,
MEASE,2016,C_Number,254.4,13.5,240.9,267.8,
MEASE,2016,D_ChangeInNumber,-13.5,18.7,-32.2,5.2,
MEASE,2016,E_Population,1093.2,,,,
MEASE,2017,A_Proportion,22.1,1.3,20.7,23.4,
MEASE,2017,B_ChangeInProportion,-1.2,1.9,-3.1,0.6,
MEASE,2017,C_Number,243.3,14.4,228.9,257.7,
MEASE,2017,D_ChangeInNumber,-11.1,20.3,-31.4,9.2,
MEASE,2017,E_Population,1103.2,,,,
MEASE,2018,A_Proportion,25.3,1.2,24,26.5,
MEASE,2018,B_ChangeInProportion,3.2,1.8,1.4,5,
MEASE,2018,C_Number,281.2,13.6,267.6,294.9,
MEASE,2018,D_ChangeInNumber,37.9,20.3,17.6,58.2,
MEASE,2018,E_Population,1113.3,,,,
MEASE,2019,A_Proportion,22.1,1.1,21,23.2,
MEASE,2019,B_ChangeInProportion,-3.2,1.8,-4.9,-1.4,
MEASE,2019,C_Number,250.3,12.6,237.7,262.8,
MEASE,2019,D_ChangeInNumber,-30.9,19.7,-50.6,-11.2,
MEASE,2019,E_Population,1132.8,,,,
MEASE,2020,A_Proportion,21.8,1.5,20.3,23.2,
MEASE,2020,B_ChangeInProportion,-0.3,1.9,-2.3,1.6,
MEASE,2020,C_Number,248.9,16.9,232,265.7,
MEASE,2020,D_ChangeInNumber,-1.4,21.8,-23.2,20.4,
MEASE,2020,E_Population,1144.1,,,,
MEASE,2021,A_Proportion,20.7,1.3,19.3,22,
MEASE,2021,B_ChangeInProportion,-1.1,1.8,-2.9,0.7,
MEASE,2021,C_Number,237.3,15.4,221.9,252.8,
MEASE,2021,D_ChangeInNumber,-11.6,20.6,-32.1,9,
MEASE,2021,E_Population,1149.2,,,,
MEASE,2022,A_Proportion,20.3,2,18.3,22.3,
MEASE,2022,B_ChangeInProportion,-0.3,2.4,-2.7,2,
MEASE,2022,C_Number,233.6,22.6,211,256.2,
MEASE,2022,D_ChangeInNumber,-3.7,27.3,-31,23.6,
MEASE,2022,E_Population,1150.5,,,,
MEASE,2023,A_Proportion,21.7,1.7,20,23.4,
MEASE,2023,B_ChangeInProportion,1.4,2.8,-1.4,4.2,
MEASE,2023,C_Number,250.5,19.5,231,269.9,
MEASE,2023,D_ChangeInNumber,16.9,32.4,-15.5,49.3,
MEASE,2023,E_Population,1155.8,,,,
MEASF,2007,A_Proportion,29.3,2.9,26.4,32.2,
MEASF,2007,B_ChangeInProportion,,,,,NA
MEASF,2007,C_Number,314.2,31.2,283,345.4,
MEASF,2007,D_ChangeInNumber,,,,,NA
MEASF,2007,E_Population,1073.4,,,,
MEASF,2008,A_Proportion,33,3.4,29.6,36.4,
MEASF,2008,B_ChangeInProportion,3.7,4.7,-0.9,8.4,
MEASF,2008,C_Number,355.2,36.4,318.8,391.7,
MEASF,2008,D_ChangeInNumber,41,49.6,-8.6,90.6,
MEASF,2008,E_Population,1076.5,,,,
MEASF,2009,A_Proportion,31.4,3.1,28.4,34.5,
MEASF,2009,B_ChangeInProportion,-1.6,4.6,-6.2,3,
MEASF,2009,C_Number,338.7,33.2,305.5,371.8,
MEASF,2009,D_ChangeInNumber,-16.5,50,-66.5,33.5,
MEASF,2009,E_Population,1078.1,,,,
MEASF,2010,A_Proportion,29.7,2.6,27.1,32.4,
MEASF,2010,B_ChangeInProportion,-1.7,4,-5.7,2.3,
MEASF,2010,C_Number,321.9,28.5,293.4,350.5,
MEASF,2010,D_ChangeInNumber,-16.8,43,-59.8,26.2,
MEASF,2010,E_Population,1082.6,,,,
MEASF,2011,A_Proportion,30.2,3.1,27.1,33.3,
MEASF,2011,B_ChangeInProportion,0.5,4.1,-3.6,4.5,
MEASF,2011,C_Number,328.1,32.8,295.3,360.9,
MEASF,2011,D_ChangeInNumber,6.2,43.6,-37.4,49.8,
MEASF,2011,E_Population,1086.9,,,,
MEASF,2012,A_Proportion,28.9,2.7,26.2,31.7,
MEASF,2012,B_ChangeInProportion,-1.2,4.2,-5.4,2.9,
MEASF,2012,C_Number,314.3,30.1,284.2,344.4,
MEASF,2012,D_ChangeInNumber,-13.8,44.8,-58.6,31,
MEASF,2012,E_Population,1085.9,,,,
MEASF,2013,A_Proportion,29.3,3,26.4,32.3,
MEASF,2013,B_ChangeInProportion,0.4,4.2,-3.8,4.6,
MEASF,2013,C_Number,318.3,32.1,286.1,350.4,
MEASF,2013,D_ChangeInNumber,4,45.5,-41.5,49.5,
MEASF,2013,E_Population,1084.7,,,,
MEASF,2014,A_Proportion,29.3,2.9,26.4,32.2,
MEASF,2014,B_ChangeInProportion,0,4.2,-4.3,4.2,
MEASF,2014,C_Number,317.8,31.8,285.9,349.6,
MEASF,2014,D_ChangeInNumber,-0.5,46.1,-46.6,45.6,
MEASF,2014,E_Population,1083.9,,,,
MEASF,2015,A_Proportion,30.5,3.3,27.2,33.7,
MEASF,2015,B_ChangeInProportion,1.1,4.3,-3.1,5.4,
MEASF,2015,C_Number,331.2,34.3,296.9,365.4,
MEASF,2015,D_ChangeInNumber,13.4,46,-32.6,59.4,
MEASF,2015,E_Population,1087.1,,,,
MEASF,2016,A_Proportion,29.8,2.4,27.4,32.2,
MEASF,2016,B_ChangeInProportion,-0.7,3.8,-4.5,3.1,
MEASF,2016,C_Number,325.7,26.7,299,352.4,
MEASF,2016,D_ChangeInNumber,-5.5,40.5,-46,35,
MEASF,2016,E_Population,1093.2,,,,
MEASF,2017,A_Proportion,28.4,2.6,25.8,31,
MEASF,2017,B_ChangeInProportion,-1.4,3.7,-5,2.3,
MEASF,2017,C_Number,313.6,28.3,285.3,342,
MEASF,2017,D_ChangeInNumber,-12.1,39.8,-51.9,27.7,
MEASF,2017,E_Population,1103.2,,,,
MEASF,2018,A_Proportion,30.6,2.4,28.3,33,
MEASF,2018,B_ChangeInProportion,2.2,3.2,-1,5.4,
MEASF,2018,C_Number,341.1,26.5,314.6,367.7,
MEASF,2018,D_ChangeInNumber,27.5,35.3,-7.8,62.8,
MEASF,2018,E_Population,1113.3,,,,
MEASF,2019,A_Proportion,27.7,1.2,26.5,28.8,
MEASF,2019,B_ChangeInProportion,-3,3.1,-6.05,0.1,
MEASF,2019,C_Number,313.2,13.5,299.7,326.8,
MEASF,2019,D_ChangeInNumber,-27.9,34.7,-62.6,6.8,
MEASF,2019,E_Population,1132.8,,,,
MEASF,2020,A_Proportion,27.8,1.6,26.2,29.4,
MEASF,2020,B_ChangeInProportion,0.2,2.1,-2,2.3,
MEASF,2020,C_Number,318.1,18.4,299.7,336.6,
MEASF,2020,D_ChangeInNumber,4.9,24,-19.1,28.9,
MEASF,2020,E_Population,1144.1,,,,
MEASF,2021,A_Proportion,27.5,1.5,26,28.9,
MEASF,2021,B_ChangeInProportion,-0.3,2.1,-2.5,1.8,
MEASF,2021,C_Number,315.6,16.8,298.7,332.4,
MEASF,2021,D_ChangeInNumber,-2.5,24.4,-27,21.9,
MEASF,2021,E_Population,1149.2,,,,
MEASF,2022,A_Proportion,27.7,2.1,25.6,29.8,
MEASF,2022,B_ChangeInProportion,0.3,2.7,-2.4,3,
MEASF,2022,C_Number,319.2,24.2,295,343.3,
MEASF,2022,D_ChangeInNumber,3.6,30.8,-27.2,34.4,
MEASF,2022,E_Population,1150.5,,,,
MEASF,2023,A_Proportion,29.4,1.7,27.7,31.1,
MEASF,2023,B_ChangeInProportion,1.7,3,-1.3,4.6,
MEASF,2023,C_Number,340,19.2,320.7,359.2,
MEASF,2023,D_ChangeInNumber,20.8,34.1,-13.3,55,
MEASF,2023,E_Population,1155.8,,,,
MEASG,2007,A_Proportion,22.4,2.9,19.5,25.3,
MEASG,2007,B_ChangeInProportion,,,,,NA
MEASG,2007,C_Number,240.5,31.2,209.3,271.6,
MEASG,2007,D_ChangeInNumber,,,,,NA
MEASG,2007,E_Population,1073.4,,,,
MEASG,2008,A_Proportion,23.9,2.8,21.2,26.7,
MEASG,2008,B_ChangeInProportion,1.5,4.2,-2.7,5.8,
MEASG,2008,C_Number,257.8,29.9,227.9,287.7,
MEASG,2008,D_ChangeInNumber,17.3,45.5,-28.2,62.8,
MEASG,2008,E_Population,1076.5,,,,
MEASG,2009,A_Proportion,23.8,2.8,21,26.6,
MEASG,2009,B_ChangeInProportion,-0.2,4,-4.1,3.8,
MEASG,2009,C_Number,256.3,30,226.3,286.3,
MEASG,2009,D_ChangeInNumber,-1.5,43,-44.5,41.5,
MEASG,2009,E_Population,1078.1,,,,
MEASG,2010,A_Proportion,21.9,2.7,19.2,24.6,
MEASG,2010,B_ChangeInProportion,-1.8,4.1,-5.9,2.3,
MEASG,2010,C_Number,237.4,29,208.4,266.4,
MEASG,2010,D_ChangeInNumber,-18.9,44.3,-63.2,25.4,
MEASG,2010,E_Population,1082.6,,,,
MEASG,2011,A_Proportion,21.9,2.6,19.3,24.5,
MEASG,2011,B_ChangeInProportion,0,3.8,-3.9,3.8,
MEASG,2011,C_Number,238,27.3,210.6,265.3,
MEASG,2011,D_ChangeInNumber,0.6,40.9,-40.3,41.5,
MEASG,2011,E_Population,1086.9,,,,
MEASG,2012,A_Proportion,22.2,2.8,19.4,25,
MEASG,2012,B_ChangeInProportion,0.3,3.9,-3.6,4.2,
MEASG,2012,C_Number,240.7,30.8,209.9,271.5,
MEASG,2012,D_ChangeInNumber,2.7,42.5,-39.8,45.2,
MEASG,2012,E_Population,1085.9,,,,
MEASG,2013,A_Proportion,21.9,2.5,19.4,24.4,
MEASG,2013,B_ChangeInProportion,-0.3,3.5,-3.8,3.3,
MEASG,2013,C_Number,237.6,27.3,210.3,264.9,
MEASG,2013,D_ChangeInNumber,-3.1,38.5,-41.6,35.4,
MEASG,2013,E_Population,1084.7,,,,
MEASG,2014,A_Proportion,23,2.8,20.2,25.7,
